Gaby des Lys,Gin [London]
Gaby des Lys,Syrup [Orgeat]
Gimlet,Gin [London]
Gin Daisy,Bitters [Orange]
Gin Daisy,Chartreuse [Yellow]
Gin Daisy,Gin [Old Tom]
God Mother,Amaretto
God Mother,Vodka
Godfather (v Bourbon),Amaretto
Godfather (v Bourbon),Bitters [Angostura]
Godfather (v Bourbon),Whiskey [Rye]
Godfather (v Scotch),Amaretto
Godfather (v Scotch),Scotch [Blended]
Golden Beautiful,Blanco Tequila
Golden Beautiful,Campari
Golden Dream,Cointreau
Golden Dream,Galliano
Grasshopper,Crème de Cacao
Grasshopper,Crème de Menthe
Greenback,Absinthe
Greenback,Crème de Menthe
Greenback,Gin [London]
Greenpoint (v Sweet Vermouth),Bitters [Angostura]
Greenpoint (v Sweet Vermouth),Chartreuse [Yellow]
Greenpoint (v Sweet Vermouth),Vermouth [Sweet]
Greenpoint (v Sweet Vermouth),Whiskey [Rye]
Greenpoint (v White Vermouth),Bitters [Angostura]
Greenpoint (v White Vermouth),Bitters [Orange]
Greenpoint (v White Vermouth),Chartreuse [Yellow]
Greenpoint (v White Vermouth),Vermouth [White]
Greenpoint (v White Vermouth),Whiskey [Rye]
Hanky Panky,Fernet Branca
Hanky Panky,Gin [Old Tom]
Hanky Panky,Vermouth [Sweet]
Harvard (classic),Bitters [Angostura]
Harvard (classic),Brandy [Cognac]
Harvard (classic),Vermouth [Sweet]
Harvard (v Peychaud),Bitters [Peychaud's]
Harvard (v Peychaud),Brandy [Cognac]
Harvard (v Peychaud),Vermouth [Sweet]
Harvest Moon (v PDT),Bitters [Angostura]
Harvest Moon (v PDT),Brandy [Apple]
Harvest Moon (v PDT),Chartreuse [Green]
Harvest Moon (v PDT),Lillet Blanc
Harvest Moon (v PDT),Whiskey [Rye]
Harvest Moon (v Traditional),Bitters [Angostura]
Harvest Moon (v Traditional),Brandy [Apple]
Harvest Moon (v Traditional),Chartreuse [Green]
Harvest Moon (v Traditional),Lillet Blanc
Harvest Moon (v Traditional),Whiskey [Rye]
Harvey Wallbanger,Galliano
Harvey Wallbanger,Vodka
Havana,Brandy [Apricot]
Havana,Gin [Old Tom]
Havana,Swedish Punsch
Hemingway Daiquiri,Maraschino Liquor
Hemingway Daiquiri,Rum [Cuban White]
Hemingway Special,Maraschino Liquor
Hemingway Special,Rum [Cuban White]
Holland Razor Blade,Gin [Genever]
Hoop La! (Classic),Brandy [Cognac]
Hoop La! (Classic),Cointreau
Hoop La! (Classic),Lillet Blanc
Hoop La! (v /u/hebug),Brandy [Apple]
Hoop La! (v /u/hebug),Brandy [Cognac]
Hoop La! (v /u/hebug),Lillet Blanc
Hoots Mon,Lillet Blanc
Hoots Mon,Scotch [Blended]
Hoots Mon,Vermouth [Sweet]
Horse's Neck,Bitters [Angostura]
Horse's Neck,Brandy [Cognac]
Hot Milk Punch,Brandy [Cognac]
Hot Milk Punch,Rum [Cuban Dark]
Hot Toddy,Scotch [Blended]
Hotel Nacional Special,Brandy [Apricot]
Hotel Nacional Special,Rum [Aged]
Hurricane,Rum [151 Amber]
Improved Holland Gin Cocktail,Bitters [Angostura]
Improved Holland Gin Cocktail,Bitters [Peychaud's]
Improved Holland Gin Cocktail,Gin [Genever]
Improved Holland Gin Cocktail,Maraschino Liquor
Improved Whiskey Cocktail (v PDT),Absinthe
Improved Whiskey Cocktail (v PDT),Bitters [Angostura]
Improved Whiskey Cocktail (v PDT),Maraschino Liquor
Improved Whiskey Cocktail (v PDT),Whiskey [Rye]
Improved Whiskey Cocktail (v SR),Absinthe
Improved Whiskey Cocktail (v SR),Bitters [Peychaud's]
Improved Whiskey Cocktail (v SR),Maraschino Liquor
Improved Whiskey Cocktail (v SR),Whiskey [Rye]
Industry Sour,Chartreuse [Green]
Industry Sour,Fernet Branca
International Bar Fly,Bitters [Angostura]
International Bar Fly,Bitters [Orange]
International Bar Fly,Brandy [Cognac]
International Bar Fly,Cointreau
International Bar Fly,Madeira
Intro to Aperol,Aperol
Intro to Aperol,Bitters [Angostura]
Intro to Aperol,Gin [London]
Irish Coffee,Whiskey [Irish]
Jack Rose,Brandy [Apple]
Jack Rose,Syrup [Grenadine]
Jackson,Bitters [Orange]
Jackson,Gin [London]
Jackson,Quina
Jake Barnes,Bitters [Angostura]
Jake Barnes,Brandy [Apple]
Jake Barnes,Syrup [Grenadine]
Japanese (v Modern),Bitters [Angostura]
Japanese (v Modern),Brandy [Cognac]
Japanese (v Modern),Syrup [Orgeat]
Japanese (v Traditional),Bitters [Boker's]
Japanese (v Traditional),Brandy [Cognac]
Japanese (v Traditional),Syrup [Orgeat]
Jasmine,Campari
Jasmine,Cointreau
Jasmine,Gin [London]
John Collins,Gin [Genever]
Jungle Bird,Campari
Jungle Bird,Rum [Jamaican Dark]
Kamikaze,Cointreau
Kamikaze,Vodka
Kentucky Buck,Whiskey [Rye]
Kingston Negroni,Campari
Kingston Negroni,Rum [Smith & Cross]
Kingston Negroni,Vermouth [Antica Formula]
Kir,Crème de Cassis
Kir,Wine [White]
Knickerbocker,Cointreau
Knickerbocker,Rum [Cuban Dark]
Latin Quarter,Absinthe
Latin Quarter,Bitters [Angostura]
Latin Quarter,Bitters [Bittermen's Xocolatl Mole]
Latin Quarter,Bitters [Creole]
Latin Quarter,Bitters [Peychaud's]
Latin Quarter,Rum [Puerto Rican Aged]
Lemon Drop Martini,Cointreau
Lemon Drop Martini,Lemon Vodka
Lion’s Tail,Allspice Dram
Lion’s Tail,Bitters [Angostura]
Lion’s Tail,Whiskey [Rye]
Little Miss Annabelle,Bénédictine
Little Miss Annabelle,Bitters [Peychaud's]
Little Miss Annabelle,Brandy [Cognac]
Little Miss Annabelle,Pear Liquor
Long Island Iced Tea (v Anvil),Blanco Tequila
Long Island Iced Tea (v Anvil),Gin [Old Tom]
Long Island Iced Tea (v Anvil),Rhum [Agricole]
Long Island Iced Tea (v Anvil),Vermouth [Sweet]
Long Island Iced Tea (v IBA),Blanco Tequila
Long Island Iced Tea (v IBA),Cointreau
Long Island Iced Tea (v IBA),Gin [London]
Long Island Iced Tea (v IBA),Rum [Cuban White]
Long Island Iced Tea (v IBA),Vodka
Lucien Gaudin,Campari
Lucien Gaudin,Cointreau
Lucien Gaudin,Gin [London]
Lucien Gaudin,Vermouth [Dry]
Mai Tai (v Hebug),Cointreau
Mai Tai (v Hebug),Rum [Aged]
Mai Tai (v Hebug),Rum [Puerto Rican Gold]
Mai Tai (v Hebug),Syrup [Orgeat]
Mai Tai (v Trader Vic's),Cointreau
Mai Tai (v Trader Vic's),Rum [Aged]
Mai Tai (v Trader Vic's),Syrup [Orgeat]
Mandala,Bitters [Cardamom]
Mandala,Gin [London]
Manhattan,Bitters [Angostura]
Manhattan,Bitters [Angostura]
Manhattan,Vermouth [Sweet]
Manhattan,Vermouth [Sweet]
Manhattan,Whiskey [Rye]
Manhattan,Whiskey [Rye]
Maple Leaf,Whiskey [Rye]
Margarita,Blanco Tequila
Margarita,Cointreau
Martinez (v Ango),Bitters [Angostura]
Martinez (v Ango),Gin [Old Tom]
Martinez (v Ango),Maraschino Liquor
Martinez (v Ango),Vermouth [Sweet]
Martinez (v Boker's),Bitters [Boker's]
Martinez (v Boker's),Gin [Old Tom]
Martinez (v Boker's),Maraschino Liquor
Martinez (v Boker's),Vermouth [Sweet]
Martini,Gin [London]
Martini,Vermouth [Dry]
Mary Pickford,Maraschino Liquor
Mary Pickford,Maraschino Liquor
Mary Pickford,Rum [Cuban White]
Mary Pickford,Rum [Cuban White]
Mary Pickford,Syrup [Grenadine]
Mary Pickford,Syrup [Grenadine]
Melon Stand,Aperol
Melon Stand,Gin [London]
Mexican Firing Squad Special,Bitters [Angostura]
Mexican Firing Squad Special,Blanco Tequila
Mexican Firing Squad Special,Syrup [Grenadine]
Milk Punch,Brandy [Cognac]
Milk Punch,Whiskey [Rye]
Millionaire,Brandy [Apricot]
Millionaire,Gin [Sloe]
Millionaire,Rum [Jamaican Dark]
Millionaire,Syrup [Grenadine]
Mimosa,Sparkling Wine
Mint Julep,Whiskey [Rye]
Mojito,Rum [Cuban White]
Monkey Gland,Absinthe
Monkey Gland,Gin [London]
Monkey Gland,Syrup [Grenadine]
Monte Carlo,Bénédictine
Monte Carlo,Bitters [Angostura]
Monte Carlo,Whiskey [Rye]
Montgomery Smith,Bénédictine
Montgomery Smith,Brandy [Cognac]
Montgomery Smith,Fernet Branca
Morgan’s Treasure,Rum [Cuban White]
Morgan’s Treasure,Syrup [Orgeat]
Moscow Mule,Vodka
Muddled Mission,Chartreuse [Yellow]
Muddled Mission,Gin [London]
Muddled Mission,St. Germain
Muddled Sunset,Brandy [Cognac]
Muddled Sunset,Chartreuse [Yellow]
Muddled Sunset,Ginger Liqueur
Navy Grog,Rum [Cuban White]
Navy Grog,Rum [Demerara]
Navy Grog,Rum [Jamaican Gold]
Negroni,Campari
Negroni,Gin [London]
Negroni,Vermouth [Sweet]
New York Sour,Whiskey [Rye]
New York Sour,Wine [Red]
Old Fashioned,Whiskey [Rye]
Old Fashioned,Bitters [Angostura]
Old Fashioned (Scotch),Bitters [Angostura]
Old Fashioned (Scotch),Scotch [Blended]
Old Ironsides,Amaretto
Old Ironsides,Bitters [Angostura]
Old Ironsides,Rum [Jamaican Dark]
Old Ironsides,Rum [Trinidadian Gold]
Old Ironsides,Vermouth [Sweet]
Old Pal,Campari
Old Pal,Vermouth [Dry]
Old Pal,Whiskey [Rye]
Pago Pago,Chartreuse [Green]
Pago Pago,Rum [Demerara]
Pamplemousse,Gin [London]
Pamplemousse,St. Germain
Paper Airplane,Amaro Nonino Quintessentia
Paper Airplane,Campari
Paper Airplane,Whiskey [Rye]
Paper Plane,Amaro Nonino Quintessentia
Paper Plane,Aperol
Paper Plane,Whiskey [Rye]
